player_name,fa_year,war_3yr_avg,ops_3yr_avg,wrc_plus_3yr_avg,games_3yr_avg,annual_avg_salary
이대호,2021,3.5566666666666666,0.8610000000000001,107.46666666666668,141.0,13.0
김재호,2021,2.6300000000000003,0.7716666666666666,121.0,127.0,8.33
이원석,2021,1.63,0.7943333333333333,90.83333333333333,120.0,6.67
정수빈,2021,2.2600000000000002,0.7823333333333334,123.96666666666665,96.66666666666667,9.33
최형우,2021,5.796666666666667,0.9613333333333333,149.96666666666667,139.66666666666666,15.67
오재일,2021,5.75,0.8826666666666667,154.46666666666667,126.66666666666667,12.5
최주환,2021,5.495,0.909,150.8,139.0,10.5
허경민,2021,2.7166666666666663,0.7933333333333333,123.3,127.66666666666667,12.14
김용의,2021,0.003333333333333336,0.5973333333333333,72.13333333333334,109.66666666666667,2.0
김성현,2021,0.56,0.6506666666666666,72.86666666666666,137.33333333333334,3.67
최재훈,2022,2.7300000000000004,0.7726666666666667,119.0,125.66666666666667,10.8
장성우,2022,0.7999999999999999,0.7083333333333334,83.83333333333333,128.0,10.5
황재균,2022,2.976666666666667,0.8220000000000001,117.60000000000001,125.0,15.0
김재환,2022,5.1066666666666665,0.8486666666666668,146.29999999999998,137.66666666666666,28.75
박건우,2022,5.036666666666666,0.8479999999999999,149.5666666666667,127.33333333333333,16.67
강민호,2022,1.7966666666666669,0.7983333333333333,95.56666666666666,118.0,9.0
박해민,2022,2.2733333333333334,0.7220000000000001,84.96666666666667,134.33333333333334,15.0
김현수,2022,5.036666666666666,0.8460000000000001,141.56666666666666,140.66666666666666,19.17
박병호,2022,3.923333333333334,0.8376666666666667,129.83333333333334,111.0,10.0
나성범,2022,3.77,0.9726666666666666,156.03333333333333,99.0,25.0
정훈,2022,3.4450000000000003,0.8135,110.7,123.0,6.0
손아섭,2022,4.196666666666666,0.8183333333333334,119.43333333333334,138.0,16.0
유강남,2023,1.9699999999999998,0.7046666666666667,105.5,135.33333333333334,20.0
박동원,2023,2.5866666666666664,0.7786666666666667,115.0,122.0,16.25
채은성,2023,3.0566666666666666,0.8016666666666667,128.6,115.0,15.0
양의지,2023,5.27,0.9526666666666666,142.9,133.66666666666666,25.33
노진혁,2023,2.51,0.8150000000000001,113.2,118.0,12.5
박민우,2023,2.4966666666666666,0.762,106.13333333333333,93.33333333333333,17.5
박세혁,2023,0.66,0.6739999999999999,92.85,126.0,11.5
김상수,2023,2.355,0.7095,89.1,126.0,7.25
오태곤,2023,0.9366666666666666,0.6993333333333333,84.26666666666667,115.33333333333333,4.75
이명기,2023,2.485,0.77,117.85000000000001,96.0,1.0
오지환,2024,3.926666666666667,0.7616666666666666,119.33333333333333,134.0,20.67
김선빈,2024,3.813333333333333,0.746,114.76666666666665,129.66666666666666,10.0
양석환,2024,2.7699999999999996,0.785,120.83333333333333,126.66666666666667,13.0
최정,2025,4.489999999999999,0.9349999999999999,143.79999999999998,126.0,27.5
허경민,2025,2.4999999999999996,0.7573333333333333,115.33333333333333,122.0,10.0
심우준,2025,1.0899999999999999,0.649,78.5,92.5,12.5
류지혁,2025,1.3,0.677,91.96666666666665,119.66666666666667,6.5
서건창,2025,1.145,0.7124999999999999,100.2,85.5,2.5
김성욱,2025,0.645,0.677,82.44999999999999,111.0,1.5
박찬호,2026,3.2533333333333334,0.735,107.96666666666665,132.66666666666666,20.0
강백호,2026,2.026666666666667,0.8093333333333333,111.36666666666667,103.33333333333333,25.0
김현수,2026,2.94,0.7760000000000001,116.3,136.66666666666666,16.67
강민호,2026,2.933333333333333,0.8083333333333335,109.8,129.33333333333334,10.0
조수행,2026,0.26333333333333336,0.5920000000000001,69.73333333333333,121.33333333333333,4.0
최형우,2026,4.116666666666667,0.8916666666666666,139.73333333333335,123.33333333333333,13.0
