team_name,position,need_score
KIA 타이거즈,C,0.5
KIA 타이거즈,1B,0.3
KIA 타이거즈,2B,0.4
KIA 타이거즈,3B,0.3
KIA 타이거즈,SS,0.4
KIA 타이거즈,OF,0.7
KIA 타이거즈,IF,0.4
KIA 타이거즈,SP,0.8
KIA 타이거즈,SU,0.7
KIA 타이거즈,CL,0.6
삼성 라이온즈,C,0.7
삼성 라이온즈,1B,0.6
삼성 라이온즈,2B,0.5
삼성 라이온즈,3B,0.4
삼성 라이온즈,SS,0.7
삼성 라이온즈,OF,0.6
삼성 라이온즈,IF,0.5
삼성 라이온즈,SP,0.7
삼성 라이온즈,SU,0.6
삼성 라이온즈,CL,0.7
LG 트윈스,C,0.6
LG 트윈스,1B,0.5
LG 트윈스,2B,0.4
LG 트윈스,3B,0.5
LG 트윈스,SS,0.3
LG 트윈스,OF,0.8
LG 트윈스,IF,0.4
LG 트윈스,SP,0.9
LG 트윈스,SU,0.7
LG 트윈스,CL,0.5
두산 베어스,C,0.8
두산 베어스,1B,0.7
두산 베어스,2B,0.6
두산 베어스,3B,0.5
두산 베어스,SS,0.6
두산 베어스,OF,0.7
두산 베어스,IF,0.6
두산 베어스,SP,0.7
두산 베어스,SU,0.6
두산 베어스,CL,0.8
KT 위즈,C,0.5
KT 위즈,1B,0.4
KT 위즈,2B,0.5
KT 위즈,3B,0.8
KT 위즈,SS,0.5
KT 위즈,OF,0.7
KT 위즈,IF,0.5
KT 위즈,SP,0.6
KT 위즈,SU,0.7
KT 위즈,CL,0.6
SSG 랜더스,C,0.4
SSG 랜더스,1B,0.7
SSG 랜더스,2B,0.5
SSG 랜더스,3B,0.6
SSG 랜더스,SS,0.5
SSG 랜더스,OF,0.8
SSG 랜더스,IF,0.5
SSG 랜더스,SP,0.8
SSG 랜더스,SU,0.6
SSG 랜더스,CL,0.5
롯데 자이언츠,C,0.9
롯데 자이언츠,1B,0.5
롯데 자이언츠,2B,0.7
롯데 자이언츠,3B,0.6
롯데 자이언츠,SS,0.7
롯데 자이언츠,OF,0.6
롯데 자이언츠,IF,0.6
롯데 자이언츠,SP,0.6
롯데 자이언츠,SU,0.7
롯데 자이언츠,CL,0.8
한화 이글스,C,0.6
한화 이글스,1B,0.6
한화 이글스,2B,0.5
한화 이글스,3B,0.5
한화 이글스,SS,0.6
한화 이글스,OF,0.9
한화 이글스,IF,0.5
한화 이글스,SP,0.9
한화 이글스,SU,0.8
한화 이글스,CL,0.7
NC 다이노스,C,0.7
NC 다이노스,1B,0.5
NC 다이노스,2B,0.8
NC 다이노스,3B,0.7
NC 다이노스,SS,0.5
NC 다이노스,OF,0.6
NC 다이노스,IF,0.6
NC 다이노스,SP,0.7
NC 다이노스,SU,0.7
NC 다이노스,CL,0.6
키움 히어로즈,C,0.5
키움 히어로즈,1B,0.6
키움 히어로즈,2B,0.5
키움 히어로즈,3B,0.6
키움 히어로즈,SS,0.8
키움 히어로즈,OF,0.5
키움 히어로즈,IF,0.7
키움 히어로즈,SP,0.5
키움 히어로즈,SU,0.6
키움 히어로즈,CL,0.5
